scrape_datetime,article_name,publish_date,item_brand,item_description,discount,discount_cleaned,count_limit,channel,discount_period,item_original_price,source_url
2025-05-14 12:29:15.300,Costco May 2023 Hot Buys Coupons,2023-05-01,Ic,P0$ 0IN$IO8RO,,,,,May 6th through May 14th,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:29:17.322,Costco May 2023 Hot Buys Coupons,2023-05-01,Va,1id S/6/23. S/4 423,,,,,May 6th through May 14th,,https://www.costcoinsider.com/wp-content/uploads/2023/05/Costco-May-2023-Hot-Buys-Cover.jpg
2025-05-14 12:29:20.757,Costco May 2023 Hot Buys Coupons,2023-05-01,Fu,11 of ft zeta Kit cugor 0n1y _ Lemon Perfect Fiydr,,,,In-Warehouse,May 6th through May 14th,$269.99,https://www.costcoinsider.com/wp-content/uploads/2023/05/Costco-May-2023-Hot-Buys-Page-2-635x639.jpg
2025-05-14 12:29:22.713,Costco May 2023 Hot Buys Coupons,2023-05-01,In-Warehouse,0n1ine Hebrew 8eet Franks ; aeI208 seers 0FF LAAI ,,,,In-Warehouse,May 6th through May 14th,$3.60,https://www.costcoinsider.com/wp-content/uploads/2023/05/Costco-May-2023-Hot-Buys-Page-3-635x656.jpg
2025-05-14 12:29:24.607,Costco May 2023 Hot Buys Coupons,2023-05-01,Warehouse,i1n 0n1ine ‘Iitan §0 Can 6otapsb1e in Warehousé 0n,,,,In-Warehouse,May 6th through May 14th,,https://www.costcoinsider.com/wp-content/uploads/2023/05/Costco-May-2023-Hot-Buys-Page-4-635x612.jpg
2025-05-14 12:29:31.681,Costco June 2023 Hot Buys Coupons,2023-06-01,Ic,P0$ 0IN$IO8RO,,,,,June 10th through June 18th,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:29:36.144,Costco June 2023 Hot Buys Coupons,2023-06-01,Fabton,CAULIFL0W8R. CRU$I. ‘R0A$I8O V868IA8L8 WAP22N P0AI,,,,In-Warehouse,June 10th through June 18th,,https://www.costcoinsider.com/wp-content/uploads/2023/06/Costco-June-2023-Hot-Buys-Coupons-Page-2-635x681.jpg
2025-05-14 12:29:37.767,Costco June 2023 Hot Buys Coupons,2023-06-01,Oniine,oni1y. “Costco Next = ‘Cookies Prote1n 8ars ‘oat $,,,,In-Warehouse,June 10th through June 18th,$2.40,https://www.costcoinsider.com/wp-content/uploads/2023/06/Costco-June-2023-Hot-Buys-Coupons-Page-3-635x650.jpg
2025-05-14 12:29:39.321,Costco June 2023 Hot Buys Coupons,2023-06-01,Cuisinart,eae ' In Warehotise 0n1ing Crest 3O White Advanced,,,,In-Warehouse,June 10th through June 18th,$69.99,https://www.costcoinsider.com/wp-content/uploads/2023/06/Costco-June-2023-Hot-Buys-Coupons-Page-4-635x642.jpg
2025-05-14 12:29:40.502,Costco June 2023 Hot Buys Coupons,2023-06-01,Tin,"0n1ine, —_“ In 0n1ine “In Waretiouse , 0n1ine ‘Ihe",,,,In-Warehouse,June 10th through June 18th,$97.99,https://www.costcoinsider.com/wp-content/uploads/2023/06/Costco-June-2023-Hot-Buys-Coupons-Page-5-635x605.jpg
2025-05-14 12:29:45.654,Costco July 2023 Hot Buys Coupons,2023-07-01,Ic,P0$ 0IN$IO8RO,,,,,July 22nd through July 30th,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:29:47.148,Costco July 2023 Hot Buys Coupons,2023-07-01,Iari,0v0RR0W: 7I22/23! Va1id 7/22/23 7/30/23,,,,,July 22nd through July 30th,,https://www.costcoinsider.com/wp-content/uploads/2023/07/Costco-July-2023-Hot-Buys-Coupons-Cover.jpg
2025-05-14 12:29:48.528,Costco July 2023 Hot Buys Coupons,2023-07-01,Spindrife,8Raei ane ee 0n1y: Rao's Homemade Marinata : $auco,,,,In-Warehouse,July 22nd through July 30th,$2.90,https://www.costcoinsider.com/wp-content/uploads/2023/07/Costco-July-2023-Hot-Buys-Coupons-Page-1-635x668.jpg
2025-05-14 12:29:50.800,Costco July 2023 Hot Buys Coupons,2023-07-01,Panera,8read Mac & Cheese ‘UM8I I0I PR Price vais AK and ,,,,In-Warehouse,July 22nd through July 30th,,https://www.costcoinsider.com/wp-content/uploads/2023/07/Costco-July-2023-Hot-Buys-Coupons-Page-2-635x643.jpg
2025-05-14 12:29:52.533,Costco July 2023 Hot Buys Coupons,2023-07-01,Tn,Waretiouse 6niine ‘$hark Cord1ess Pro Vacuum’ ‘wit,,,,In-Warehouse,July 22nd through July 30th,$2.20,https://www.costcoinsider.com/wp-content/uploads/2023/07/Costco-July-2023-Hot-Buys-Coupons-Page-3-635x669.jpg
2025-05-14 12:29:54.360,Costco July 2023 Hot Buys Coupons,2023-07-01,Nw,in Warefiouse 0n1ine: Ii Waréhouse 0n1ine: ‘$choo1,,,,,July 22nd through July 30th,$24.09,https://www.costcoinsider.com/wp-content/uploads/2023/07/Costco-July-2023-Hot-Buys-Coupons-Page-4-635x570.jpg
2025-05-14 12:29:55.743,Costco July 2023 Hot Buys Coupons,2023-07-01,Warahds,0itina! ewareh1ise'F 0rns In 4 0ntine eeWienoiiée ,,,,In-Warehouse,July 22nd through July 30th,$79.99,https://www.costcoinsider.com/wp-content/uploads/2023/07/Costco-July-2023-Hot-Buys-Coupons-Page-5-635x518.jpg
2025-05-14 12:29:57.211,Costco July 2023 Hot Buys Coupons,2023-07-01,Tarts Iomorrow,7/22/23! Mexico: Kempinsid Hote1 ‘6aneun Oai1y 8re,,,,,July 22nd through July 30th,,https://www.costcoinsider.com/wp-content/uploads/2023/07/Costco-July-2023-Hot-Buys-Coupons-Page-6-635x342.jpg
2025-05-14 12:30:02.072,Costco August 2023 Hot Buys Coupons,2023-08-01,Ic,P0$ 0IN$IO8RO,,,,,August 26th through September 4th,,https://www.costcoinsider.com/wp-content/themes/Selin5.4/images/Costco-Insider4.png
2025-05-14 12:30:03.874,Costco August 2023 Hot Buys Coupons,2023-08-01,In,WAR8H0U$8,,,,,August 26th through September 4th,,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Cover.jpg
2025-05-14 12:30:04.822,Costco August 2023 Hot Buys Coupons,2023-08-01,Wareb,use 0n1y? Kirk1and $ignature Choco1ate: A1mond Oip,,,,In-Warehouse,August 26th through September 4th,,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Page-1-635x656.jpg
2025-05-14 12:30:05.863,Costco August 2023 Hot Buys Coupons,2023-08-01,Warehouse,"0n1y? ‘fiobant Low Fat 6reek Yogtirt Orink, Var1et",,,,In-Warehouse,August 26th through September 4th,$3.80,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Page-2-635x674.jpg
2025-05-14 12:30:06.863,Costco August 2023 Hot Buys Coupons,2023-08-01,Warehouse,0n1y: ‘Waréhouse 0n1y “Jongga Napa'Cabbage Kimchi’,,,,In-Warehouse,August 26th through September 4th,$4.99,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Page-3-635x646.jpg
2025-05-14 12:30:07.629,Costco August 2023 Hot Buys Coupons,2023-08-01,In,0n1 e 0n1 e. ‘Kirk1and $ignaturg Oai1y Facia1 ids ,,,,In-Warehouse,August 26th through September 4th,$99.99,https://www.costcoinsider.com/wp-content/uploads/2023/08/Costco-August-2023-Hot-Buys-Coupons-Page-4-635x670.jpg
